No.,テーマ,AIに聞きたい内容,選択肢A,選択肢B,選択肢C,正解
第1話,例を使うかどうか,記事を例示なしで要約してほしい,例：’要約例1’、’要約例2’。同じ形式で要約してください,この記事を５行で要約してください,この記事をリスト形式でまとめてください,B
第1話,例を使うかどうか,サンプルを示した上で同じ形式で翻訳してほしい,この記事を要約してください,この記事を英語に翻訳してください,例：’これは例文A’、’これは例文B’。同じ形式で翻訳してください,C
第1話,例を使うかどうか,見本を元にキャッチコピーを作ってほしい,例：’夏の思い出’→’煌めく季節を感じて’。では同じ形式でキャッチコピーを作成してください,新商品についてキャッチコピーを作成してください,以下を３行で要約してください,A
第2話,話し手を決める,営業部長として売上報告を作成してほしい,今月の売上報告をまとめてください,例：’レポート例1’、’レポート例2’。同じ形式で作成してください,あなたは営業部長です。今月の売上報告をレポート形式で作成してください,C
第2話,話し手を決める,小学生向け講師として説明してほしい,あなたは小学生向け講師です。この仕組みをやさしく説明してください,この仕組みを専門家向けに説明してください,この仕組みを中学生向けに説明してください,A
第2話,話し手を決める,編集者として文章を校正してほしい,以下の文章を翻訳してください,あなたは編集者です。以下の文章を読みやすく校正してください,以下の文章を短くまとめてください,B
第3話,出力形式を決める,箇条書きでわかりやすくまとめてほしい,以下の内容を説明文として書いてください,番号付きリストでまとめてください,以下の内容を５行で要約してください,B
第3話,出力形式を決める,文字数100字以内で説明してほしい,以下をかんたんな日本語で説明してください,以下を英語に翻訳してください,以下を100字以内で説明してください,C
第3話,出力形式を決める,表やリストで整理したいときに使いやすい形式でまとめてほしい,以下のデータを番号付きリストで出力してください,以下のデータを表形式でまとめてください,以下のデータを箇条書きでまとめてください,A
第4話,前提を伝える,中学生向けにわかりやすく説明してほしい,この仕組みを大学生向けに説明してください,この仕組みを専門家向けに説明してください,この仕組みを中学生向けに分かりやすく説明してください,C
第4話,前提を伝える,最新市場データを基に分析してほしい,最新の市場データを基に、今後のトレンドを分析してください,市場データをまとめてください,市場データを翻訳してください,A
第4話,前提を伝える,中高生向けの教材として要約してほしい,研究者向けにこの内容を要約してください,中高生向けの教材として、この内容を要約してください,ビジネス向けにこの内容を要約してください,B
第5話,手順を示す,ステップを示しながら数学問題を解いてほしい,問題を解く手順をステップバイステップで示してください,答えだけを教えてください,この問題の解説をお願いします,A
第5話,手順を示す,論理的に理由付けしながらアイデアを出してほしい,アイデアについて意見を述べてください,このアイデアのメリット・デメリットを論理的ステップで示してください,アイデアのメリット・デメリットを教えてください,B
第5話,手順を示す,複雑な手順の要約と確認リストを生成してほしい,手順を箇条書きでまとめてください,手順を短く要約してください,手順をステップごとに要約し、チェックリスト形式で出力してください,C
